item1,item2,count
0351484002,"['0838055001', '0723529001', '0699080001', '0823505002', '0713199006', '0599580052', '0699081001', '0599580055', '0688537004', '0599580038']",10
0351484039,"['0838055002', '0823505001', '0739590032', '0838055003', '0351484041', '0776237030', '0860949002', '0684209027', '0838055001', '0351484002']",10
0351484042,"['0713199009', '0806225008', '0599580038', '0688537021', '0684209027', '0351484002', '0713199006', '0776237011', '0838055001', '0599580052']",10
0554598001,"['0554598003', '0554598047', '0610776002', '0554598065', '0554598081', '0610776001', '0554598067', '0554598066', '0554598080', '0841383002']",10
0554598047,"['0554598065', '0554598001', '0554598003', '0554598067', '0610776002', '0554598066', '0554598081', '0610776001', '0554598070', '0554598080']",10
0554598065,"['0554598047', '0554598067', '0554598001', '0554598003', '0554598066', '0610776002', '0610776072', '0554598080', '0554598081', '0717490057']",10
0590928001,"['0688537004', '0712924012', '0684209004', '0684209027', '0599580052', '0590928023', '0684209013', '0688537021', '0832331002', '0868018004']",10
0590928023,"['0712924014', '0599580042', '0684209027', '0590928001', '0832114002', '0688537021', '0688537004', '0712924012', '0590928022', '0806225008']",10
0599580017,"['0684209004', '0776237008', '0590928001', '0599580052', '0688537004', '0832330002', '0832331002', '0599580038', '0739590027', '0811927004']",10
0599580038,"['0806225008', '0776237011', '0687034023', '0832298003', '0684209027', '0599580052', '0688537021', '0806225002', '0599580055', '0811835005']",10
0599580046,"['0684209019', '0841699002', '0860819001', '0599580052', '0599580038', '0811835002', '0843872003', '0684209027', '0832298006', '0688537021']",10
0599580052,"['0806225002', '0599580038', '0811835001', '0834217004', '0838055001', '0688537004', '0806225008', '0599580074', '0754404004', '0811835005']",10
0599580055,"['0776237020', '0559630026', '0838357002', '0599580038', '0844160002', '0599580052', '0684209013', '0834217009', '0599580074', '0351484002']",10
0599580074,"['0811835005', '0599580052', '0684209013', '0599580038', '0833499006', '0806225008', '0833530006', '0599580055', '0776237020', '0811835001']",10
0600886011,"['0684209004', '0832330002', '0776237008', '0868018004', '0600886001', '0590928001', '0834179002', '0866383005', '0834217004', '0827411001']",10
0610776001,"['0610776002', '0610776072', '0610776083', '0610776103', '0554598003', '0554598001', '0800691007', '0554598047', '0678342028', '0841383003']",10
0610776002,"['0610776001', '0610776083', '0610776103', '0610776072', '0554598001', '0554598047', '0554598065', '0800691008', '0554598003', '0717490059']",10
0610776072,"['0610776001', '0610776002', '0610776083', '0554598065', '0610776103', '0717490057', '0610776065', '0554598047', '0717490059', '0554598067']",10
0684209004,"['0688537004', '0684209027', '0600886011', '0684209013', '0688537021', '0590928001', '0832331002', '0688537011', '0599580052', '0599580017']",10
0684209012,"['0688537010', '0599580012', '0684209027', '0688537004', '0684209004', '0688537021', '0684209032', '0684209013', '0868018001', '0688537029']",10
0684209013,"['0688537011', '0688537004', '0684209027', '0684209004', '0688537021', '0599580074', '0590928001', '0599580055', '0834217009', '0688537010']",10
0684209019,"['0599580046', '0684209027', '0688537021', '0843873004', '0571706012', '0688537004', '0860820001', '0599580052', '0684209013', '0838055001']",10
0684209025,"['0688537026', '0599580083', '0684209027', '0820866002', '0688537004', '0684209032', '0688537021', '0838055003', '0688537029', '0684209038']",10
0684209027,"['0688537021', '0688537004', '0599580038', '0868018003', '0684209004', '0684209013', '0687034023', '0590928001', '0806225008', '0599580052']",10
0684209032,"['0688537029', '0684209027', '0688537021', '0688537004', '0684209025', '0688537026', '0684209012', '0850176003', '0854619003', '0684209019']",10
0685816001,"['0685816002', '0685816041', '0685816004', '0685816037', '0685816053', '0685816017', '0685816011', '0685816006', '0685816048', '0685816003']",10
0685816002,"['0685816001', '0685816037', '0685816017', '0685816048', '0685816024', '0685816023', '0685816041', '0685816053', '0685816004', '0685816003']",10
0685816017,"['0685816037', '0685816041', '0685816006', '0685816002', '0685816048', '0685816004', '0685816001', '0685816024', '0685816036', '0685816045']",10
0685816041,"['0685816001', '0685816017', '0685816047', '0685816002', '0685816030', '0685816036', '0685816006', '0685816045', '0685816024', '0685816004']",10
0687034023,"['0599580038', '0868018003', '0684209027', '0688537021', '0832330002', '0811907006', '0806225008', '0688537004', '0757995009', '0854677003']",10
0688537004,"['0684209004', '0590928001', '0684209027', '0688537021', '0832330002', '0684209013', '0599580052', '0688537011', '0712924012', '0800389001']",10
0688537010,"['0684209012', '0688537004', '0811835006', '0684209027', '0688537021', '0642498010', '0843869002', '0776237026', '0684209004', '0684209013']",10
0688537011,"['0684209013', '0688537004', '0684209027', '0688537021', '0811835005', '0684209004', '0590928001', '0834217009', '0599580055', '0688537010']",10
0688537021,"['0684209027', '0688537004', '0599580038', '0806225008', '0684209004', '0684209013', '0687034023', '0688537011', '0599580052', '0590928001']",10
0688537026,"['0684209025', '0811835004', '0684209027', '0688537021', '0688537029', '0684209032', '0688537004', '0688537011', '0820866002', '0684209013']",10
0688537029,"['0684209032', '0684209027', '0688537021', '0688537004', '0688537026', '0684209025', '0688537010', '0684209012', '0843872006', '0739590032']",10
0699080001,"['0351484002', '0699081001', '0599580052', '0838055001', '0823505002', '0864498001', '0834217004', '0688537004', '0599580055', '0806225002']",10
0699081001,"['0838055001', '0699080001', '0351484002', '0723529001', '0713199006', '0834217004', '0864498001', '0823505002', '0599580052', '0834217009']",10
0706016001,"['0706016015', '0706016002', '0706016019', '0706016006', '0706016036', '0706016003', '0706016039', '0573085043', '0798579009', '0621381012']",10
0712924012,"['0590928001', '0688537004', '0590928023', '0684209004', '0854261001', '0599580052', '0688537021', '0684209027', '0832330002', '0684209013']",10
0713199006,"['0864498001', '0351484002', '0699081001', '0832284001', '0713199009', '0823505002', '0599580052', '0351484042', '0723529001', '0838055001']",10
0720125001,"['0854043005', '0791587001', '0720125041', '0806778001', '0720125007', '0907527001', '0804992001', '0852174001', '0851094002', '0757303012']",10
0723529001,"['0351484002', '0838055001', '0599580052', '0699081001', '0823505002', '0590928001', '0864498001', '0699080001', '0684209027', '0713199006']",10
0733749001,"['0733749010', '0759871002', '0733749012', '0759871001', '0733749011', '0733749014', '0733749025', '0408875001', '0759871025', '0901638001']",10
0736530007,"['0611415005', '0736531006', '0736530001', '0736530006', '0822344001', '0851065001', '0810557001', '0829618006', '0723469001', '0748355003']",10
0739590027,"['0866383001', '0599580052', '0832330002', '0688537004', '0832331002', '0599580017', '0590928001', '0811925009', '0739590032', '0684209004']",10
0739590032,"['0860949002', '0838055002', '0776237030', '0351484039', '0599580038', '0823505001', '0739590031', '0860949001', '0599580052', '0834217005']",10
0739590037,"['0806225009', '0811925005', '0811927004', '0850176003', '0854619003', '0806225008', '0599580055', '0599580052', '0806225002', '0599580038']",10
0741356002,"['0824337001', '0741356008', '0741356004', '0879436002', '0873564004', '0873564005', '0865073002', '0741356001', '0824337002', '0599580052']",10
0748355003,"['0372860001', '0723469001', '0704754001', '0748355002', '0748355006', '0372860002', '0868309001', '0868751002', '0666617007', '0759871002']",10
0749699001,"['0749699002', '0749699008', '0821163008', '0716672001', '0741356002', '0716672003', '0610776002', '0768759008', '0821163009', '0882066001']",10
0749699002,"['0749699001', '0749699008', '0716672001', '0821163008', '0882066001', '0741356002', '0821163009', '0832481005', '0749699017', '0749699026']",10
0751471001,"['0783346018', '0783346001', '0751471027', '0751471022', '0751471023', '0751471026', '0753737001', '0796210001', '0751471021', '0783346016']",10
0754404004,"['0599580052', '0832330002', '0827411001', '0854261001', '0811925009', '0843805001', '0832331002', '0687034023', '0757995009', '0868018004']",10
0757995009,"['0758002008', '0832330002', '0687034023', '0757995007', '0758002010', '0832331002', '0854261001', '0811925009', '0754404004', '0599580052']",10
0759871002,"['0759871001', '0759871025', '0759871004', '0759871013', '0759871003', '0759871038', '0733749001', '0759871011', '0820960001', '0524529004']",10
0776237008,"['0600886011', '0599580017', '0776237011', '0688537004', '0599580052', '0776237019', '0599580038', '0832331002', '0776237030', '0868018004']",10
0776237011,"['0599580038', '0868018003', '0806225008', '0776237020', '0571706010', '0599580052', '0684209027', '0688537021', '0776237006', '0776237008']",10
0776237020,"['0599580055', '0844160002', '0834217009', '0599580038', '0599580052', '0559630026', '0776237011', '0776237030', '0599580074', '0806225008']",10
0776237030,"['0739590032', '0834217005', '0776237020', '0776237011', '0599580038', '0351484039', '0599580055', '0776237006', '0776237034', '0599580052']",10
0783346016,"['0783346018', '0783346023', '0783346001', '0783346020', '0783346024', '0766346003', '0766346004', '0766346008', '0783346017', '0751471001']",10
0783346018,"['0783346016', '0783346001', '0783346023', '0783346020', '0751471001', '0783346024', '0766346008', '0766346003', '0796210001', '0766346004']",10
0799365011,"['0799365002', '0714790020', '0714790008', '0746069006', '0640021011', '0741356002', '0799365013', '0812207002', '0573085043', '0841260011']",10
0800389001,"['0810419001', '0688537004', '0599580052', '0811925009', '0684209027', '0832331002', '0832330002', '0838055001', '0833530002', '0833499002']",10
0800691007,"['0800691008', '0800691009', '0610776001', '0800691016', '0800691013', '0841383003', '0610776002', '0778064003', '0803772002', '0827968001']",10
0806225002,"['0599580052', '0806225008', '0834217004', '0599580038', '0688537004', '0811835001', '0806225009', '0811927007', '0823505002', '0832284001']",10
0806225008,"['0599580038', '0806225002', '0571706010', '0868018003', '0688537021', '0599580052', '0684209027', '0776237011', '0811835005', '0806225009']",10
0806225009,"['0739590037', '0811927004', '0806225008', '0854619003', '0806225002', '0599580052', '0599580038', '0850176003', '0811925005', '0776237020']",10
0811777007,"['0811777002', '0811777004', '0636505001', '0832309010', '0698276009', '0837278001', '0759326008', '0811783004', '0698276004', '0868018004']",10
0811835001,"['0599580052', '0811835005', '0757915002', '0806225002', '0599580074', '0806225008', '0832284001', '0811835006', '0823505002', '0827411001']",10
0811835005,"['0599580074', '0833530006', '0811835001', '0599580052', '0806225008', '0599580038', '0834217009', '0688537011', '0823505002', '0833499006']",10
0811907006,"['0833530002', '0823168004', '0832114005', '0687034023', '0832330002', '0811907003', '0833499002', '0599580052', '0754404004', '0757995009']",10
0811925005,"['0811927004', '0739590037', '0811925009', '0854619003', '0827411005', '0850176003', '0599580055', '0684209027', '0806225009', '0811927007']",10
0811925009,"['0811927007', '0599580052', '0832330002', '0827411001', '0811925005', '0832331002', '0688537004', '0811927004', '0754404004', '0838055001']",10
0811927004,"['0811925005', '0806225009', '0739590037', '0850176003', '0854619003', '0832994001', '0811925009', '0599580038', '0811927007', '0599580052']",10
0811927007,"['0811925009', '0599580052', '0806225002', '0811927004', '0688537004', '0599580038', '0806225008', '0811925005', '0811925002', '0811927001']",10
0817401002,"['0817401004', '0876053003', '0817401003', '0817401001', '0817416002', '0817472001', '0837741001', '0867044003', '0749699002', '0817472003']",10
0817401004,"['0817401002', '0817401001', '0817472001', '0817401003', '0837741001', '0817416002', '0749699002', '0817416001', '0900659004', '0753737001']",10
0821163009,"['0821163008', '0887911002', '0821163003', '0749699002', '0749699001', '0832481005', '0882066001', '0821336002', '0768759009', '0874064001']",10
0822344001,"['0822344002', '0822311001', '0849648001', '0851065001', '0736530007', '0579302001', '0851010009', '0810557001', '0849711003', '0704756001']",10
0823118001,"['0823165001', '0823118002', '0823165002', '0739590032', '0823118004', '0861478001', '0823118003', '0823165005', '0684209027', '0827411001']",10
0823118004,"['0823165005', '0599580072', '0861478001', '0823118002', '0776237031', '0823118001', '0861410003', '0823165001', '0823165002', '0861411003']",10
0823165005,"['0823118004', '0861478001', '0599580072', '0776237031', '0811835009', '0827411001', '0823165002', '0823118002', '0823165001', '0823118001']",10
0823505002,"['0351484002', '0599580052', '0811835005', '0699080001', '0806225002', '0723529001', '0713199006', '0688537004', '0699081001', '0590928001']",10
0824337001,"['0741356002', '0741356008', '0873564004', '0824337002', '0879436002', '0824337007', '0824337003', '0873564005', '0749699001', '0741356004']",10
0827411001,"['0812658001', '0868018004', '0861478001', '0832284001', '0827411006', '0811925009', '0868018003', '0861411003', '0754404004', '0834179002']",10
0827411006,"['0833500002', '0901955001', '0827411001', '0822946002', '0834217009', '0841699003', '0868018003', '0839457002', '0861478001', '0835136002']",10
0832114005,"['0841699008', '0833499002', '0811907006', '0833530002', '0841699003', '0599580038', '0834217009', '0590928022', '0599580046', '0599580052']",10
0832284001,"['0827411001', '0599580052', '0834179002', '0713199006', '0806225002', '0861478001', '0806225008', '0861411003', '0834217004', '0811835005']",10
0832330002,"['0832331002', '0688537004', '0868018004', '0754404004', '0599580052', '0854261001', '0811925009', '0600886011', '0687034023', '0684209027']",10
0832331002,"['0832330002', '0684209004', '0688537004', '0599580052', '0590928001', '0811925009', '0854261001', '0827411001', '0599580017', '0868018004']",10
0832481005,"['0816563005', '0882066001', '0845032003', '0821163008', '0749699002', '0821163009', '0749699001', '0832481003', '0880839001', '0832481002']",10
0833499002,"['0833530002', '0832114005', '0833499006', '0833530006', '0599580052', '0688537004', '0559616020', '0811907006', '0833499003', '0811925009']",10
0833499006,"['0833530006', '0833499002', '0599580074', '0811835005', '0833530002', '0599580052', '0833499003', '0684209027', '0559616020', '0599580038']",10
0833530002,"['0833499002', '0811907006', '0833530006', '0599580052', '0832114005', '0833499006', '0688537004', '0841699008', '0599580038', '0559616020']",10
0833530006,"['0833499006', '0811835005', '0833530002', '0833499002', '0599580074', '0599580052', '0599580038', '0806225008', '0684209027', '0688537021']",10
0834179002,"['0832284001', '0827411001', '0799417001', '0861478001', '0834217004', '0600886011', '0868018004', '0806225002', '0600886001', '0571706001']",10
0834217004,"['0806225002', '0599580052', '0757915002', '0834217009', '0838055001', '0699081001', '0865880001', '0571706001', '0599580038', '0688537004']",10
0834217009,"['0841699003', '0901955001', '0776237020', '0811835005', '0834217004', '0827411006', '0684209013', '0599580055', '0599580052', '0599580038']",10
0838055001,"['0351484002', '0699081001', '0599580052', '0864498001', '0684209027', '0723529001', '0699080001', '0688537004', '0838055002', '0688537021']",10
0838055002,"['0739590032', '0351484039', '0846279001', '0838055003', '0684209027', '0838055001', '0351484041', '0688537021', '0860949002', '0684209013']",10
0841383002,"['0841383003', '0803772001', '0610776002', '0767869001', '0572797002', '0610776001', '0554598001', '0759871002', '0749699001', '0565379002']",10
0841383003,"['0841383002', '0803772002', '0572797002', '0803772001', '0565379002', '0610776001', '0800691007', '0767869002', '0772773002', '0863937007']",10
0841699002,"['0599580046', '0571706012', '0860820001', '0860819001', '0684209019', '0841699003', '0834217009', '0841699008', '0843873004', '0599580038']",10
0841699003,"['0834217009', '0827411006', '0841699008', '0599580055', '0776237020', '0599580074', '0832114005', '0811835005', '0599580052', '0841699002']",10
0843872006,"['0843873007', '0861443003', '0861411003', '0698276009', '0850176003', '0684209027', '0854619003', '0827411001', '0861410003', '0843872002']",10
0843873007,"['0843872006', '0861443003', '0684209027', '0861411003', '0861442003', '0698276009', '0688537004', '0820866002', '0850176003', '0688537021']",10
0850176003,"['0854619003', '0811927004', '0739590037', '0811925005', '0599580052', '0850176002', '0684209027', '0854619002', '0688537004', '0838055001']",10
0854043005,"['0810838010', '0854043006', '0852174003', '0852174001', '0806778001', '0720125001', '0825318009', '0854043001', '0757303012', '0854043007']",10
0854261001,"['0868018004', '0832330002', '0688537004', '0832331002', '0599580052', '0754404004', '0712924012', '0811925009', '0861478001', '0757995009']",10
0854619003,"['0850176003', '0811925005', '0811927004', '0739590037', '0806225009', '0854619002', '0850176002', '0599580052', '0684209027', '0688537021']",10
0854677001,"['0854683001', '0854677003', '0854683003', '0854677002', '0854678001', '0854683002', '0854677004', '0854683004', '0854679003', '0854678003']",10
0854677002,"['0854683002', '0854679002', '0854677004', '0854677003', '0854683004', '0854683003', '0854678002', '0854683001', '0854679005', '0854677001']",10
0854677003,"['0854683003', '0854679003', '0854677002', '0854683002', '0854678003', '0854677004', '0854683001', '0854677001', '0854683004', '0854679002']",10
0854677004,"['0854683004', '0854679005', '0854677002', '0854678005', '0854683002', '0854677003', '0854683003', '0854679002', '0854678002', '0854683001']",10
0854678001,"['0854683001', '0854678003', '0854678002', '0854677001', '0854683002', '0854683003', '0854678005', '0854683004', '0854677002', '0854677003']",10
0854678002,"['0854683002', '0854679002', '0854678005', '0854678003', '0854677002', '0854683004', '0854683003', '0854683001', '0854678001', '0854679005']",10
0854678003,"['0854683003', '0854679003', '0854678002', '0854677003', '0854683002', '0854678005', '0854678001', '0854683001', '0854683004', '0854677002']",10
0854678005,"['0854683004', '0854679005', '0854678002', '0854677004', '0854683002', '0854678003', '0854683003', '0854677002', '0854679002', '0854678001']",10
0854679002,"['0854677002', '0854678002', '0854683002', '0854679005', '0854679003', '0854677004', '0854678005', '0854677003', '0854678003', '0854683004']",10
0854679003,"['0854677003', '0854678003', '0854683003', '0854679002', '0854677002', '0854679005', '0854678002', '0854678005', '0854677004', '0854683001']",10
0854679005,"['0854677004', '0854678005', '0854683004', '0854679002', '0854677002', '0854679003', '0854678002', '0854677003', '0854683002', '0854678003']",10
0854683001,"['0854677001', '0854678001', '0854683003', '0854683002', '0854677003', '0854683004', '0854678003', '0854677002', '0854678002', '0854678005']",10
0854683002,"['0854677002', '0854678002', '0854683004', '0854683003', '0854683001', '0854677004', '0854677003', '0854678005', '0854678003', '0854679002']",10
0854683003,"['0854677003', '0854678003', '0854683002', '0854683001', '0854683004', '0854677002', '0854679003', '0854678002', '0854677004', '0854677001']",10
0854683004,"['0854677004', '0854678005', '0854683002', '0854677002', '0854683003', '0854678002', '0854679005', '0854683001', '0854677003', '0854678003']",10
0860949001,"['0739590031', '0860949002', '0739590032', '0599580052', '0599580046', '0860949003', '0684209019', '0599580055', '0687034023', '0811907006']",10
0860949002,"['0739590032', '0860949001', '0739590031', '0351484039', '0838055002', '0834217005', '0846279001', '0854677003', '0599580038', '0687034023']",10
0861411003,"['0861410003', '0861411002', '0861410002', '0827411001', '0843872006', '0861478001', '0812658001', '0868018004', '0843873007', '0832284001']",10
0861478001,"['0861477001', '0827411001', '0868018004', '0823165005', '0823118004', '0861411003', '0834179002', '0832284001', '0861478002', '0868018003']",10
0863000005,"['0878013004', '0878013001', '0863001001', '0871477005', '0863000004', '0865533001', '0863000002', '0824767001', '0822158001', '0817361007']",10
0864716001,"['0854677004', '0854677003', '0854683001', '0854683002', '0854679003', '0854677002', '0854683003', '0854683004', '0854679005', '0854678002']",10
0865073002,"['0865073001', '0873564004', '0865073003', '0741356002', '0835563007', '0835563002', '0865073005', '0817472001', '0746994002', '0746994009']",10
0865533001,"['0857277001', '0865532001', '0863000005', '0861712001', '0817361007', '0816166005', '0871477005', '0817361002', '0857272001', '0878013004']",10
0866383001,"['0739590027', '0832330002', '0590928001', '0820866011', '0806225002', '0688537004', '0811925009', '0827411001', '0832331002', '0866383003']",10
0868018003,"['0687034023', '0684209027', '0806225008', '0776237011', '0599580038', '0868018004', '0827411001', '0832298003', '0688537021', '0827411006']",10
0868018004,"['0854261001', '0832330002', '0827411001', '0861478001', '0868018003', '0642498004', '0590928001', '0600886011', '0684209004', '0832331002']",10
0878013004,"['0863000005', '0878013001', '0863001001', '0863000004', '0863000002', '0824767001', '0749699002', '0816166005', '0865533001', '0880839001']",10
0879436002,"['0741356002', '0824337001', '0597891002', '0879436003', '0873564004', '0305304008', '0879436001', '0741356008', '0741356004', '0749699001']",10
0880839001,"['0880839002', '0844411003', '0717727011', '0212629004', '0844411001', '0901607003', '0821336002', '0212629048', '0844411002', '0767799003']",10
